domain,problem,time,result
sokoban-sat08-strips,p18.pddl,246.17045187950134,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p20.pddl,197.98675417900085,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p13.pddl,133.9352993965149,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p06.pddl,120.96215176582336,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p29.pddl,242.2543113231659,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p35-net4-b18-g4.pddl,10.641685724258423,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p20-net2-b18-g8.pddl,4.862685918807983,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p26-net3-b16-g7.pddl,4.784785032272339,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p43-net5-b24-g3.pddl,12.732930898666382,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p13-net2-b12-g3.pddl,9.118717908859253,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p01.pddl,50.151642084121704,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p02.pddl,63.69573521614075,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p07-net1-b12-g5.pddl,4.6211631298065186,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p32-net4-b14-g5.pddl,4.8682050704956055,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p06-net1-b10-g6.pddl,9.623112678527832,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p31-net4-b14-g3.pddl,5.364622592926025,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p23-net3-b14-g3.pddl,4.316670656204224,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p30-net3-b20-g8.pddl,5.74714207649231,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p40-net4-b22-g8.pddl,10.662846565246582,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p24-net3-b14-g5.pddl,5.024856805801392,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p46-net5-b26-g6.pddl,6.628770351409912,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p02-net1-b6-g4.pddl,5.284606218338013,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p22-net3-b12-g4.pddl,10.037130355834961,NON_ROBUST_SINGLE_AGENT
sokoban-sat08-strips,p07.pddl,65.23527312278748,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p03-net1-b8-g3.pddl,4.470812797546387,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p41-net5-b22-g2.pddl,11.631843328475952,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p01-net1-b6-g2.pddl,4.728396654129028,NON_ROBUST_SINGLE_AGENT
pipesworld-notankage,p17-net2-b16-g5.pddl,5.098078012466431,NON_ROBUST_SINGLE_AGENT
